date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:10	104390/104390	---M-Z	200	added ('OK')	text/html	etag:W/%22185ba-+z9NkgvQUARjltXrak2RC+UQNx0%22	https://elcomercio.pe/saltar-intro/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/saltar-intro/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:10	197149/197149	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f292588db1416492aa1f8ce5a18668eb%22	https://elcomercio.pe/pf/resources/assets/js/sdk.v3.min.js?d=2333	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/pf/resources/assets/js/sdk.v3.min992d.js	(from https://elcomercio.pe/?ref=ecr)
19:53:10	229443/229443	---M-Z	200	added ('OK')	text/html	etag:W/%2236e38-jJCF+Mu2Geoukkif4E4SNAG+zKU%22	https://elcomercio.pe/politica/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/politica/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:10	6527/6527	---M--	200	added ('OK')	binary/octet-stream	etag:%225302d4307852aa1ce222952456f073e1%22	https://cdna.elcomercio.pe/resources/assets/js/lazyload.js?d=1	C:/My%20Web%20Sites/madeleyne/cdna.elcomercio.pe/resources/assets/js/lazyload2d2b.js	(from https://elcomercio.pe/?ref=ecr)
19:53:10	230016/230016	---M-Z	200	added ('OK')	text/html	etag:W/%2237075-mpukSn/dY2EpRlPsMCC4uXJOt1w%22	https://elcomercio.pe/economia/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/economia/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:11	229062/229062	---M-Z	200	added ('OK')	text/html	etag:W/%2236cbb-79EkjHt9IjkU+3DFWQHpUuyG2y8%22	https://elcomercio.pe/lima/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/lima/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:11	0/-1	---M--	301	error ('')			https://elcomercio.pe/tecnologia	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/tecnologia.1e.delayed	(from https://elcomercio.pe/)
19:53:12	226607/226607	---M-Z	200	added ('OK')	text/html	etag:W/%2236324-wf1lk6e3WzVpWBlYl9YpnqFAvQg%22	https://elcomercio.pe/peru/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/peru/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:12	230605/230605	---M-Z	200	added ('OK')	text/html	etag:W/%22372c2-WW280dlwNpYzJ9al9uRhHofBqQE%22	https://elcomercio.pe/mundo/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/mundo/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:12	241125/241125	---M-Z	200	added ('OK')	text/html	etag:W/%2239bda-GSqMweZGjNf3zmsSRdXMRhOoc5g%22	https://elcomercio.pe/deporte-total/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/deporte-total/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:12	44028/44028	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdd59dabd7637c8877da935ed188f4ff%22	https://d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp.js?v=2022-11-09	C:/My%20Web%20Sites/madeleyne/d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp6ebf.js	(from https://elcomercio.pe/?ref=ecr)
